Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Return,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,MA_7,STD_7,MA_14,STD_14,MA_21,STD_21,Momentum_7,Volume_change
2018-12-19,RELIANCE,EQ,1136.4,1141.5,1147.3,1133.2,1134.85,1136.8,1141.63,7368799.0,8412459475.0,164405.0,3731005.0,50.63,0.00035198873636033134,1136.4,1129.9,1112.2,1107.05,1110.5,1118.6285714285714,15.592943306283123,1129.2535714285714,23.583643812921782,1129.609523809524,23.160217070692415,46.549999999999955,0.2551336006845937
2018-12-20,RELIANCE,EQ,1136.8,1121.0,1132.5,1116.15,1129.9,1128.45,1125.05,5764731.0,6485603201.0,185769.0,2014106.0,34.94,-0.0073451794510907,1136.8,1136.4,1129.9,1112.2,1107.05,1123.0428571428572,12.744882259562008,1126.4607142857144,20.85716237956953,1129.1833333333332,23.091937626215362,30.90000000000009,-0.21768377723425492
2018-12-21,RELIANCE,EQ,1128.45,1125.0,1131.25,1096.0,1098.0,1100.2,1109.5,8281941.0,9188808281.0,218034.0,4108319.0,49.61,-0.025034339137755324,1128.45,1136.8,1136.4,1129.9,1112.2,1121.5714285714287,14.854344402215231,1122.442857142857,20.037540317570876,1128.5785714285714,23.698056731656923,-10.299999999999955,0.43665697497420086
2018-12-24,RELIANCE,EQ,1100.2,1100.9,1103.2,1086.55,1089.3,1089.15,1094.03,4144535.0,4534256814.0,117013.0,1170605.0,28.24,-0.010043628431194329,1100.2,1128.45,1136.8,1136.4,1129.9,1119.0142857142857,18.790128487373472,1117.932142857143,19.90680794973187,1127.9261904761904,24.612672645643155,-17.899999999999864,-0.49956960572406883
2018-12-26,RELIANCE,EQ,1089.15,1085.8,1100.0,1065.65,1099.7,1098.35,1081.5,7210059.0,7797694484.0,156049.0,1909463.0,26.48,0.008446954046733568,1089.15,1100.2,1128.45,1136.8,1136.4,1117.0357142857142,20.296093924004335,1113.875,17.363752585383377,1127.3833333333332,25.15339109012976,-13.850000000000136,0.7396545088894171
2018-12-27,RELIANCE,EQ,1098.35,1107.2,1127.0,1104.0,1118.1,1120.2,1119.69,12478000.0,13971553903.0,216178.0,4046134.0,32.43,0.019893476578504155,1098.35,1089.15,1100.2,1128.45,1136.8,1115.65,19.59026118595438,1113.6285714285714,17.238381977061167,1127.002380952381,25.20093984452375,-9.700000000000045,0.7306377104542419
2018-12-28,RELIANCE,EQ,1120.2,1125.5,1135.25,1121.2,1125.65,1125.55,1129.79,7666016.0,8661012961.0,130793.0,2256132.0,29.43,0.0047759328691303615,1120.2,1098.35,1089.15,1100.2,1128.45,1114.1,18.04300418446376,1113.0392857142856,16.625920200931027,1125.7119047619049,24.506207911265278,-10.850000000000136,-0.3856374418977401
2018-12-31,RELIANCE,EQ,1125.55,1130.95,1133.85,1116.2,1125.25,1121.25,1122.29,7222817.0,8106063425.0,155746.0,2448969.0,33.91,-0.003820354493358713,1125.55,1120.2,1098.35,1089.15,1100.2,1111.8785714285716,15.570213473797505,1115.2535714285714,15.374547701744614,1123.4619047619049,22.46537282553219,-15.549999999999955,-0.057813471821608564
2019-01-01,RELIANCE,EQ,1121.25,1125.25,1127.3,1110.1,1120.5,1121.0,1119.01,4455850.0,4986129073.0,76742.0,1306898.0,29.33,-0.00022296544035671495,1121.25,1125.55,1120.2,1098.35,1089.15,1110.814285714286,14.464027628522873,1116.9285714285713,14.552883857561783,1121.2452380952382,20.066108895103703,-7.4500000000000455,-0.38308695900782197
2019-01-02,RELIANCE,EQ,1121.0,1114.5,1127.0,1101.0,1104.35,1106.4,1113.42,7144970.0,7955342410.0,147850.0,2543832.0,35.6,-0.013024085637823313,1121.0,1121.25,1125.55,1120.2,1098.35,1111.7,13.883923556902444,1116.6357142857144,14.73234835022379,1118.861904761905,18.593943266293973,6.2000000000000455,0.6035032597596419
