Symbol,Open Price,High Price,Low Price,Close Price,Close_lag_1,Close_lag_2,MA_7,MA_21,Total Traded Quantity,Volume_change,Turnover,RSI_14,MACD,BB_position,Volatility_14,Momentum_14,Target_Close
RELIANCE,992.9,1005.75,987.25,1001.5,981.3,966.65,963.7428571428571,955.2619047619048,4595886,0.22201012889655014,4590432124.0,68.08460634547592,-5.465057718270941,1.073650520660791,0.018653123336706823,76.95000000000005,1012.85
RELIANCE,1010.0,1018.0,997.5,1012.85,1001.5,981.3,972.7714285714285,956.7595238095237,3630006,-0.2101618708558045,3663682139.0,75.78845220766618,-1.2296211181247827,1.0864146127710732,0.017191635752359175,106.30000000000007,1006.4
RELIANCE,1014.0,1015.0,1003.5,1006.4,1012.85,1001.5,980.4499999999999,958.347619047619,2054428,-0.4340428087446687,2070143079.0,67.30490281404118,1.5882237522816922,0.9575606284993593,0.014013390157929436,59.64999999999998,1027.0
RELIANCE,1007.5,1030.9,1007.5,1027.0,1006.4,1012.85,992.2928571428571,961.0190476190477,3022554,0.4712387097527877,3087984351.0,77.2842998585573,5.4211423971609065,1.0357479167411987,0.01313426516649164,96.45000000000005,1041.7
RELIANCE,1020.0,1043.9,1018.6,1041.7,1027.0,1006.4,1005.342857142857,964.8595238095239,2709831,-0.1034631639335476,2801141034.0,76.29870129870132,9.53501150756881,1.036188143747109,0.012446401418075057,89.10000000000002,1011.75
RELIANCE,1042.05,1045.9,1009.0,1011.75,1041.7,1027.0,1011.7857142857143,967.4428571428573,4733124,0.7466491452788016,4820313423.0,69.17313352956916,10.26029344298729,0.7967210176682626,0.01481521224683787,71.64999999999998,1014.5
RELIANCE,1014.9,1029.55,1010.6,1014.5,1011.75,1041.7,1016.5285714285716,969.9119047619048,3501676,-0.2601765768232567,3569686913.0,68.92365794442945,10.930981073950647,0.7853529116197975,0.014830916846258478,70.14999999999998,1019.75
RELIANCE,1019.1,1026.4,1012.95,1019.75,1014.5,1011.75,1019.1357142857144,974.4452380952382,2715590,-0.22448850207729099,2765572642.0,66.63770634231105,11.750682425002196,0.7983390602774966,0.01429373543678883,57.450000000000045,1020.5
RELIANCE,1024.0,1027.85,1015.1,1020.5,1019.75,1014.5,1020.2285714285715,979.8714285714287,2397332,-0.1171966313029581,2449201924.0,72.03732503888024,12.318816732236314,0.7740498973696944,0.013451173586770851,70.85000000000002,1021.75
RELIANCE,1021.0,1025.8,1005.45,1021.75,1020.5,1019.75,1022.4214285714287,983.4428571428573,2529074,0.05495359007429923,2568957743.0,71.72955974842766,12.723265927565308,0.7584011794301833,0.01348405238204543,69.10000000000002,1016.0
RELIANCE,1027.0,1036.9,1012.0,1016.0,1021.75,1020.5,1020.8500000000001,987.5119047619048,3847740,0.5214026952157194,3949732218.0,73.01536491677334,12.436458135557473,0.6956272877963986,0.01324281652710039,71.89999999999998,1027.2
RELIANCE,1018.25,1030.15,1015.7,1027.2,1016.0,1021.75,1018.7785714285714,991.0642857142857,3207246,-0.16645979198178673,3284213965.0,73.84424449270864,12.963472450815516,0.7535702295640181,0.0133276308525429,76.85000000000002,1037.3
RELIANCE,1027.95,1041.5,1022.75,1037.3,1027.2,1016.0,1022.4285714285714,995.6928571428573,2904852,-0.09428462924265868,2993700834.0,72.79767666989349,14.034341530281836,0.8016937782804495,0.012980918721482878,70.64999999999998,1047.85
RELIANCE,1037.0,1052.25,1035.65,1047.85,1037.3,1027.2,1027.1928571428573,1000.6214285714285,3504967,0.20659055951903915,3661562667.0,72.05833609545903,15.55500144689745,0.8433273403948408,0.012751102791960992,66.54999999999995,1029.2
RELIANCE,1046.9,1046.9,1022.4,1029.2,1047.85,1037.3,1028.5428571428572,1003.8071428571429,3841654,0.09605996290407304,3962605795.0,59.27662424648361,15.081387404965085,0.6828271069074906,0.013208264543620191,27.700000000000045,1020.4
RELIANCE,1030.0,1031.7,1015.65,1020.4,1029.2,1047.85,1028.5285714285715,1007.1761904761903,4130553,0.07520172300785033,4224624949.0,52.57240204429301,13.836460307667949,0.5923489020614894,0.013200240476424903,7.5499999999999545,1036.25
RELIANCE,1023.8,1042.0,1020.2,1036.25,1020.4,1029.2,1030.6000000000001,1011.1571428571428,3627901,-0.12169121180626419,3752397078.0,59.55811719500481,13.967797079783736,0.7230229043644821,0.013601075467825735,29.850000000000023,1047.05
RELIANCE,1042.7,1051.75,1042.7,1047.05,1036.25,1020.4,1035.0357142857142,1016.0595238095239,3303780,-0.0893411920556818,3460764578.0,56.850017082336855,14.773057547056396,0.8427554871530823,0.012803313369622447,20.049999999999955,1045.2
RELIANCE,1041.0,1056.0,1032.7,1045.2,1047.05,1036.25,1037.607142857143,1020.5761904761904,7047985,1.1333094213295074,7368811911.0,51.31086142322097,15.088027342816417,0.8269363727213848,0.012271637602612883,3.5,1034.45
RELIANCE,1039.1,1046.3,1025.0,1034.45,1045.2,1047.05,1037.2,1023.8047619047618,2830115,-0.5984504791085679,2923641416.0,59.93000874890643,14.305305361228648,0.6555254434250372,0.009611932614636349,22.700000000000045,1035.05
RELIANCE,1040.0,1042.2,1025.3,1035.05,1034.45,1045.2,1035.3714285714286,1026.3642857142856,1973260,-0.3027633152716409,2036784077.0,59.161836825679906,13.57690146840389,0.6482249318836409,0.009610284574250545,20.549999999999955,1026.95
RELIANCE,1031.35,1042.4,1022.2,1026.95,1035.05,1034.45,1035.05,1027.5761904761905,2345148,0.1884637604775854,2417937240.0,53.130434782608724,12.20533828777593,0.47177174010241096,0.009850516882957103,7.2000000000000455,1033.75
RELIANCE,1032.1,1036.7,1022.6,1033.75,1026.95,1035.05,1036.9571428571428,1028.5714285714287,1597975,-0.31860377255507966,1645826296.0,55.47294506402316,11.534109718477339,0.5929140240956385,0.009983855934689641,13.25,1037.25
RELIANCE,1034.9,1048.0,1022.1,1037.25,1033.75,1026.95,1037.1000000000001,1030.040476190476,2009055,0.25725058276881674,2083849370.0,56.28548256285485,11.155977822662521,0.6595523622207029,0.010004810532477891,15.5,1036.35
RELIANCE,1035.9,1054.45,1031.2,1036.35,1037.25,1033.75,1035.5714285714287,1030.4857142857143,3065701,0.5259417985072583,3193915291.0,58.59012241452089,10.660792117136111,0.6483482075959172,0.009837250029705842,20.34999999999991,1040.3
RELIANCE,1037.0,1045.5,1033.0,1040.3,1036.35,1037.25,1034.8714285714284,1030.4190476190477,2356318,-0.2313934072500874,2451516879.0,55.89028776978416,10.466435315174976,0.720010338587999,0.009480412535603472,13.099999999999909,1047.4
RELIANCE,1040.3,1057.45,1038.05,1047.4,1040.3,1036.35,1036.7214285714285,1032.1166666666666,2552099,0.08308768171358882,2676798111.0,54.66728280961191,10.761267617739122,0.8616421986137537,0.009295864562857612,10.100000000000136,1066.05
RELIANCE,1052.55,1069.9,1052.55,1066.05,1047.4,1040.3,1041.15,1034.5714285714287,3666141,0.4365198998941655,3886222311.0,57.82459157351681,12.357375346326762,1.1454299032164466,0.010082853955515383,18.200000000000045,1064.75
RELIANCE,1065.8,1066.8,1055.4,1064.75,1066.05,1047.4,1046.55,1036.7142857142858,4358102,0.18874369534614188,4624603232.0,67.96361798888329,13.363358605518215,1.0210101835514742,0.00852296018405612,35.549999999999955,1037.3
